tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitSteps
150.00,-gneE22_0,45.25,13.82,97.00,9.00,-gneE14_0,5.10,0.00,tripinfo_88,53.00,88,0,185.90,1.00,39.41,DEFAULT_VEHTYPE,,27
151.00,gneE9_0,45.25,12.89,41.00,0.00,-gneE11_0,5.10,0.00,tripinfo_41,110.00,41,0,290.40,1.00,88.19,DEFAULT_VEHTYPE,,70
151.00,gneE12_0,45.25,12.59,29.00,0.00,-gneE14_0,5.10,0.00,tripinfo_29,122.00,29,0,290.40,1.00,100.74,DEFAULT_VEHTYPE,,83
152.00,gneE14_0,45.25,12.78,49.00,0.00,-gneE5_0,5.10,0.00,tripinfo_49,103.00,49,0,290.40,1.00,81.32,DEFAULT_VEHTYPE,,61
153.00,gneE12_0,45.25,13.53,79.00,0.00,-gneE8_0,5.10,0.00,tripinfo_79,74.00,79,0,290.56,1.00,52.34,DEFAULT_VEHTYPE,,31
153.00,-gneE20_0,45.25,12.98,94.00,0.00,-gneE8_0,5.10,0.00,tripinfo_94,59.00,94,0,190.68,1.00,44.77,DEFAULT_VEHTYPE,,22
154.00,-gneE23_0,45.25,12.83,117.00,0.00,-gneE13_0,5.10,0.00,tripinfo_117,37.00,117,0,184.62,1.00,22.71,DEFAULT_VEHTYPE,,6
154.00,gneE11_0,45.25,12.98,49.00,1.00,-gneE14_0,5.10,0.00,tripinfo_48,105.00,48,0,285.90,1.00,83.84,DEFAULT_VEHTYPE,,68
155.00,-gneE20_0,45.25,13.84,115.00,0.00,2/2to2/1_0,5.10,0.00,tripinfo_115,40.00,115,0,135.93,1.00,29.58,DEFAULT_VEHTYPE,,12
155.00,gneE8_0,45.25,12.93,79.00,1.00,-gneE11_0,5.10,0.00,tripinfo_78,76.00,78,0,294.90,1.00,54.08,DEFAULT_VEHTYPE,,35
156.00,gneE11_0,45.25,13.86,80.00,0.00,-gneE14_0,5.10,0.00,tripinfo_80,76.00,80,0,285.90,1.00,55.36,DEFAULT_VEHTYPE,,38
157.00,gneE8_0,45.25,13.20,110.00,0.00,2/1to2/0_0,5.10,0.00,tripinfo_110,47.00,110,0,335.47,1.00,22.41,DEFAULT_VEHTYPE,,12
157.00,-gneE22_0,45.25,13.83,89.00,0.00,-gneE12_0,5.10,0.00,tripinfo_89,68.00,89,0,190.68,1.00,53.18,DEFAULT_VEHTYPE,,33
159.00,gneE14_0,45.25,12.82,108.00,0.00,gneE22_0,5.10,0.00,tripinfo_108,51.00,108,0,186.34,1.00,36.59,DEFAULT_VEHTYPE,,20
159.00,gneE13_0,45.25,13.46,77.00,0.00,-gneE13_0,5.10,0.00,tripinfo_77,82.00,77,0,277.25,1.00,60.62,DEFAULT_VEHTYPE,,36
160.00,gneE11_0,45.25,13.16,38.00,0.00,-gneE13_0,5.10,0.00,tripinfo_38,122.00,38,0,290.40,1.00,100.21,DEFAULT_VEHTYPE,,84
161.00,gneE9_0,45.25,13.87,72.00,0.00,gneE19_0,5.10,0.00,tripinfo_72,89.00,72,0,190.68,1.00,74.05,DEFAULT_VEHTYPE,,47
161.00,gneE5_0,45.25,12.78,54.00,0.00,-gneE9_0,5.10,0.00,tripinfo_54,107.00,54,0,294.90,1.00,85.57,DEFAULT_VEHTYPE,,54
163.00,-gneE19_0,45.25,13.60,105.00,0.00,-gneE9_0,5.10,0.00,tripinfo_105,58.00,105,0,190.40,1.00,43.66,DEFAULT_VEHTYPE,,15
164.00,gneE13_0,45.25,13.29,81.00,0.00,-gneE12_0,5.10,0.00,tripinfo_81,83.00,81,0,294.90,1.00,60.84,DEFAULT_VEHTYPE,,34
164.00,-gneE22_0,45.25,13.65,45.00,0.00,-gneE7_0,5.10,0.00,tripinfo_45,119.00,45,0,391.22,1.00,90.64,DEFAULT_VEHTYPE,,67
165.00,gneE9_0,45.25,12.73,73.00,0.00,gneE22_0,5.10,0.00,tripinfo_73,92.00,73,0,390.40,1.00,63.22,DEFAULT_VEHTYPE,,40
165.00,gneE11_0,45.25,12.90,131.00,1.00,2/2to2/1_0,5.10,0.00,tripinfo_130,34.00,130,0,240.15,1.00,16.58,DEFAULT_VEHTYPE,,0
